id,city_name,locality_city,locality_town,area_usable,area_total,rooms,floor_is,floor_max,has_balcony,has_elevator,condition_name,listing_quality_score,locality_gpsPrecisionScore,price_current,other_model_estimated_price,our_model_predicted_price,other_model_error,our_model_error,better_model,prediction_error,prediction_error_pct,offer_type,is_active,date_archived
4,Bratislava,Bratislava,,101.0,101.0,4.0,5.0,5.0,b'\x01',b'\x01',Novostavba,0,0.0,518500.0,452184.69,400922.7980640284,66315.31,117577.20193597162,Other Model,-117577.20193597162,-22.68,1,b'\x01',
5,Bratislava,Bratislava,,164.0,175.95,4.0,7.0,7.0,b'\x01',b'\x01',Pôvodný stav,0,0.0,650000.0,738517.78,593088.41628148,88517.78000000003,56911.58371852001,Our Model,-56911.58371852001,-8.76,1,b'\x01',
13,Nitra,Nitra,,76.0,76.0,3.0,2.0,4.0,b'\x01',b'\x01',Novostavba,2,2.0,201468.0,241669.45,212240.43584645205,40201.45000000001,10772.435846452048,Our Model,10772.435846452048,5.35,1,b'\x01',
14,Nitra,Nitra,,44.0,46.0,2.0,5.0,5.0,b'\x01',b'\x01',Novostavba,2,2.0,181400.0,153952.74,164353.81765010985,27447.26000000001,17046.18234989015,Our Model,-17046.18234989015,-9.4,1,b'\x01',
15,Nitra,Nitra,,34.0,34.0,1.0,3.0,5.0,b'\x01',b'\x01',Novostavba,2,2.0,138900.0,123922.53,134862.53579818603,14977.470000000001,4037.464201813971,Our Model,-4037.464201813971,-2.91,1,b'\x01',
17,Nové Zámky,,Nové Zámky,84.0,84.0,3.0,1.0,7.0,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,139000.0,157710.86,131013.94699234437,18710.859999999986,7986.0530076556315,Our Model,-7986.0530076556315,-5.75,1,b'\x01',
18,Nové Zámky,,Nové Zámky,84.0,84.0,3.0,2.0,7.0,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,139000.0,157710.86,132000.9654011409,18710.859999999986,6999.034598859114,Our Model,-6999.034598859114,-5.04,1,b'\x01',
19,Nové Zámky,,Nové Zámky,74.0,74.0,3.0,2.0,7.0,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,135000.0,139240.62,139628.8970019114,4240.619999999995,4628.897001911391,Other Model,4628.897001911391,3.43,1,b'\x01',
20,Piešťany,,,106.0,129.26,4.0,2.0,2.0,b'\x01',b'\x00',Novostavba,0,0.0,250480.0,,290447.2518985191,,39967.25189851911,No estimate available,39967.25189851911,15.96,1,b'\x01',
21,Ružomberok,,Ružomberok,53.0,53.0,3.0,,,b'\x00',b'\x00',Novostavba,0,0.0,434353.0,,144832.47664718563,,289520.5233528144,No estimate available,-289520.5233528144,-66.66,1,b'\x01',
22,Ružomberok,,Ružomberok,28.0,28.0,1.0,5.0,5.0,b'\x00',b'\x01',other,2,2.0,85600.0,,108539.01231691198,,22939.012316911976,No estimate available,22939.012316911976,26.8,1,b'\x01',
23,Trnava,Trnava,,65.0,65.0,2.0,4.0,5.0,b'\x01',b'\x00',Novostavba,0,0.0,209300.0,233036.97,174886.84559110706,23736.97,34413.15440889294,Other Model,-34413.15440889294,-16.44,1,b'\x01',
24,Trnava,Trnava,,44.0,44.0,1.0,2.0,5.0,b'\x01',b'\x00',Novostavba,0,0.0,155400.0,176149.09,147776.62115416085,20749.089999999997,7623.37884583915,Our Model,-7623.37884583915,-4.91,1,b'\x01',
25,Zvolen,,Zvolen,52.0,58.2,2.0,2.0,0.0,b'\x01',b'\x01',Pôvodný stav,0,0.0,32000.0,,133201.1298513082,,101201.12985130819,No estimate available,101201.12985130819,316.25,1,b'\x01',
26,Bratislava,Bratislava,,90.0,171.0,3.0,4.0,12.0,b'\x01',b'\x00',Vo výstavbe / Projekt,0,0.0,434000.0,443894.49,426668.42009229824,9894.48999999999,7331.579907701758,Our Model,-7331.579907701758,-1.69,1,b'\x01',
27,Bratislava,Bratislava,,65.0,65.0,2.0,1.0,,b'\x00',b'\x00',Kompletná rekonštrukcia,10,10.0,329000.0,326443.71,266477.3862403127,2556.289999999979,62522.61375968729,Other Model,-62522.61375968729,-19.0,1,b'\x01',
37,Dunajská Streda,,Dunajská Streda,89.0,104.0,3.0,3.0,4.0,b'\x01',b'\x00',Novostavba,0,0.0,157900.0,199018.54,189158.6883241005,41118.54000000001,31258.688324100513,Our Model,31258.688324100513,19.8,1,b'\x01',
38,Liptovský Mikuláš,,Liptovský Mikuláš,67.0,67.0,2.0,1.0,1.0,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,115000.0,,151555.07544550308,,36555.075445503084,No estimate available,36555.075445503084,31.79,1,b'\x01',
39,Liptovský Mikuláš,,Liptovský Mikuláš,23.0,23.0,1.0,1.0,2.0,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,99000.0,,93000.07116096365,,5999.928839036351,No estimate available,-5999.928839036351,-6.06,1,b'\x01',
40,Lučenec,,Lučenec,46.0,46.0,2.0,6.0,10.0,b'\x01',b'\x01',Čiastočná rekonštrukcia,0,0.0,82200.0,57987.4,59484.540980413236,24212.6,22715.459019586764,Our Model,-22715.459019586764,-27.63,1,b'\x01',
41,Bratislava,Bratislava,,94.0,102.24,3.0,2.0,2.0,b'\x01',b'\x00',Novostavba,2,2.0,365000.0,,479883.4274650355,,114883.42746503552,No estimate available,114883.42746503552,31.47,1,b'\x01',
