id,city_name,locality_city,locality_town,price_current
4,Bratislava,Bratislava,,518500.0
5,Bratislava,Bratislava,,650000.0
13,Nitra,Nitra,,201468.0
14,Nitra,Nitra,,181400.0
15,Nitra,Nitra,,138900.0
17,Nové Zámky,,Nové Zámky,139000.0
18,Nové Zámky,,Nové Zámky,139000.0
19,Nové Zámky,,Nové Zámky,135000.0
20,Piešťany,,,250480.0
21,Ružomberok,,Ružomberok,434353.0
22,Ružomberok,,Ružomberok,85600.0
23,Trnava,Trnava,,209300.0
24,Trnava,Trnava,,155400.0
25,Zvolen,,Zvolen,32000.0
26,Bratislava,Bratislava,,434000.0
27,Bratislava,Bratislava,,329000.0
37,Dunajská Streda,,Dunajská Streda,157900.0
38,Liptovský Mikuláš,,Liptovský Mikuláš,115000.0
39,Liptovský Mikuláš,,Liptovský Mikuláš,99000.0
40,Lučenec,,Lučenec,82200.0
41,Bratislava,Bratislava,,365000.0
42,Bratislava,Bratislava,,718736.0
44,Lučenec,,Lučenec,79700.0
45,Žilina,Žilina,,565499.0
46,Žilina,Žilina,,248624.0
49,Bratislava,Bratislava,,388000.0
51,Bratislava,Bratislava,,439900.0
53,Bratislava,Bratislava,,540000.0
54,Bratislava,Bratislava,,321891.0
58,Bratislava,Bratislava,,455000.0
59,Dunajská Streda,,Dunajská Streda,222000.0
60,Dunajská Streda,,Dunajská Streda,176000.0
64,Košice,Košice,,315000.0
69,Lučenec,,Lučenec,105000.0
70,Malacky,,Malacky,239500.0
71,Malacky,,Malacky,144500.0
80,Pezinok,,Pezinok,215000.0
83,Piešťany,,Piešťany,135000.0
86,Piešťany,,Piešťany,170000.0
88,Púchov,,Púchov,86100.0
91,Trenčín,Trenčín,,246000.0
92,Trenčín,Trenčín,,331153.0
93,Trnava,Trnava,,156216.0
95,Trnava,Trnava,,269120.0
97,Žilina,Žilina,,428290.0
98,Žilina,Žilina,,463747.0
99,Žilina,Žilina,,194999.0
100,Žilina,Žilina,,204749.0
106,Bratislava,Bratislava,,1689900.0
112,Prešov,Prešov,,283933.0
113,Partizánske,,Partizánske,119900.0
114,Šaľa,,Šaľa,125000.0
115,Banská Bystrica,Banská Bystrica,,129900.0
116,Žilina,Žilina,,309900.0
117,Trenčín,Trenčín,,155900.0
119,Nitra,Nitra,,130000.0
120,Nové Zámky,,Nové Zámky,128000.0
126,Bratislava,Bratislava,,361620.0
128,Trnava,Trnava,,238921.0
130,Piešťany,,Piešťany,276500.0
134,Nitra,Nitra,,196536.0
135,Nitra,Nitra,,257866.0
136,Komárno,,Komárno,309980.0
145,Bratislava,Bratislava,,2019850.0
146,Bratislava,Bratislava,,299000.0
147,Bratislava,Bratislava,,150000.0
149,Banská Bystrica,Banská Bystrica,,199900.0
150,Trnava,Trnava,,239826.0
151,Trnava,Trnava,,359910.0
152,Trnava,Trnava,,222000.0
154,Banská Bystrica,Banská Bystrica,,85900.0
155,Malacky,,Malacky,209000.0
156,Malacky,,Malacky,185900.0
157,Prešov,Prešov,,476647.0
158,Zvolen,,Zvolen,150000.0
159,Komárno,,Komárno,163987.0
162,Pezinok,,Pezinok,231000.0
164,Liptovský Mikuláš,,Liptovský Mikuláš,163000.0
165,Považská Bystrica,,Považská Bystrica,84900.0
166,Považská Bystrica,,Považská Bystrica,129900.0
167,Šaľa,,Šaľa,130000.0
168,Lučenec,,Lučenec,78300.0
169,Kežmarok,,Vysoké Tatry,390000.0
172,Žilina,Žilina,,430000.0
173,Bratislava,Bratislava,,699000.0
181,Bratislava,Bratislava,,564753.0
183,Považská Bystrica,,Považská Bystrica,123300.0
184,Košice,Košice,,305900.0
187,Banská Bystrica,Banská Bystrica,,264900.0
188,Banská Bystrica,Banská Bystrica,,569900.0
190,Trenčín,Trenčín,,159900.0
193,Banská Bystrica,Banská Bystrica,,499000.0
195,Bratislava,Bratislava,,185900.0
196,Bratislava,Bratislava,,399100.0
198,Bratislava,Bratislava,,325000.0
199,Bratislava,Bratislava,,399800.0
203,Bratislava,Bratislava,,325000.0
